資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20260213,006208,10,324,42613650,2.29
20260213,006208,11,68,18470195,0.99
20260213,006208,12,16,7596297,0.40
20260213,006208,13,5,3256065,0.17
20260213,006208,14,2,1881000,0.10
20260213,006208,15,40,201199429,10.81
20260213,006208,16,0,0,0.00
20260213,006208,17,667884,1860040000,100.00
20260213,00625K,1,0,0,0.00
20260213,00625K,2,5,18000,5.40
20260213,00625K,3,1,10000,3.00
20260213,00625K,4,1,12000,3.60
20260213,00625K,5,1,16000,4.80
20260213,00625K,6,1,23000,6.90
20260213,00625K,7,1,35000,10.51
20260213,00625K,8,0,0,0.00
20260213,00625K,9,2,108000,32.43
20260213,00625K,10,1,111000,33.33
20260213,00625K,11,0,0,0.00
20260213,00625K,12,0,0,0.00
20260213,00625K,13,0,0,0.00
20260213,00625K,14,0,0,0.00
20260213,00625K,15,0,0,0.00
20260213,00625K,16,0,0,0.00
20260213,00625K,17,13,333000,100.00
20260213,00631L,1,30962,5987754,5.11
20260213,00631L,2,13078,26844783,22.92
20260213,00631L,3,2037,14978455,12.79
20260213,00631L,4,699,8778339,7.49
20260213,00631L,5,348,6219384,5.31
20260213,00631L,6,304,7484619,6.39
20260213,00631L,7,138,4875616,4.16
20260213,00631L,8,77,3553507,3.03
20260213,00631L,9,103,7190857,6.14
20260213,00631L,10,38,5122293,4.37
20260213,00631L,11,12,3164000,2.70
20260213,00631L,12,3,1611991,1.37
20260213,00631L,13,3,2038480,1.74
20260213,00631L,14,1,835229,0.71
20260213,00631L,15,5,18398693,15.71
20260213,00631L,16,0,0,0.00
20260213,00631L,17,47808,117084000,100.00
20260213,00632R,1,11494,4488170,0.23
20260213,00632R,2,19844,49691804,2.59
20260213,00632R,3,7863,61575330,3.21
20260213,00632R,4,3834,49529633,2.58
20260213,00632R,5,2820,51583580,2.69
20260213,00632R,6,3403,87028880,4.54
20260213,00632R,7,1901,68058100,3.55
20260213,00632R,8,1520,70046100,3.66
20260213,00632R,9,3325,243545787,12.72
20260213,00632R,10,1732,246723010,12.89
20260213,00632R,11,819,227052702,11.86
20260213,00632R,12,231,113789155,5.94
20260213,00632R,13,116,80714845,4.21
20260213,00632R,14,69,62744842,3.27
20260213,00632R,15,161,497135792,25.97
20260213,00632R,16,0,0,0.00
20260213,00632R,17,59132,1913707730,100.00
20260213,00633L,1,254,48380,0.02
20260213,00633L,2,2047,5116291,2.89
20260213,00633L,3,748,6112705,3.45
20260213,00633L,4,354,4629538,2.61
20260213,00633L,5,286,5314588,3.00
20260213,00633L,6,309,8077668,4.56
20260213,00633L,7,177,6381780,3.60
20260213,00633L,8,134,6282723,3.55
20260213,00633L,9,302,22690001,12.82
20260213,00633L,10,152,21407000,12.09
20260213,00633L,11,73,20629396,11.65
20260213,00633L,12,21,10078000,5.69
20260213,00633L,13,16,11277512,6.37
20260213,00633L,14,9,8086480,4.56
20260213,00633L,15,19,40825938,23.07
20260213,00633L,16,0,0,0.00
20260213,00633L,17,4901,176958000,100.00
20260213,00634R,1,49,4225,0.00
20260213,00634R,2,334,835876,1.76
20260213,00634R,3,125,1078180,2.28
20260213,00634R,4,51,672400,1.42
20260213,00634R,5,49,928623,1.96
20260213,00634R,6,54,1445801,3.05
20260213,00634R,7,32,1141000,2.41
20260213,00634R,8,29,1368800,2.89
20260213,00634R,9,59,4213000,8.91
20260213,00634R,10,32,4786835,10.12
20260213,00634R,11,25,7266762,15.37
20260213,00634R,12,3,1600000,3.38
20260213,00634R,13,4,2776000,5.87
20260213,00634R,14,1,1000000,2.11
20260213,00634R,15,7,18138498,38.38
20260213,00634R,16,0,0,0.00
20260213,00634R,17,854,47256000,100.00
20260213,00635U,1,20181,4622485,1.43
20260213,00635U,2,29015,58234294,18.14
20260213,00635U,3,3953,30986594,9.65
20260213,00635U,4,1290,16616786,5.17
20260213,00635U,5,825,15322695,4.77
20260213,00635U,6,652,16762721,5.22
20260213,00635U,7,322,11639944,3.62
20260213,00635U,8,180,8426389,2.62
20260213,00635U,9,320,22887978,7.12
20260213,00635U,10,116,15942033,4.96
20260213,00635U,11,39,10103528,3.14
20260213,00635U,12,6,2842000,0.88
20260213,00635U,13,7,5251000,1.63
20260213,00635U,14,4,3650000,1.13
20260213,00635U,15,20,97725553,30.44
20260213,00635U,16,0,0,0.00
20260213,00635U,17,56930,321014000,100.00
20260213,00636 ,1,1522,442612,0.32
20260213,00636 ,2,5116,12111078,8.91
20260213,00636 ,3,1341,10886311,8.01
20260213,00636 ,4,550,7065787,5.20
20260213,00636 ,5,352,6589985,4.85
20260213,00636 ,6,338,8675926,6.38
20260213,00636 ,7,155,5637509,4.15
20260213,00636 ,8,110,5189896,3.82
20260213,00636 ,9,194,14501947,10.67
20260213,00636 ,10,96,13438110,9.89
20260213,00636 ,11,29,7993354,5.88
20260213,00636 ,12,13,6428987,4.73
20260213,00636 ,13,5,3505000,2.58
20260213,00636 ,14,2,1801000,1.32
20260213,00636 ,15,10,31557498,23.23
20260213,00636 ,16,0,0,0.00
